payload,sentiment,mocker
"i am willing work  in your esteem organization.
hence, i am submitting my resume for your kind consideration.
i am currently working as an senior asstt.
(admin.
& academic) at maharaja agrasen university, baddi, distt.
solan (hp), where i perform many of the tasks required for preparing documents for affiliation from various concerned govt.
authorities like hpperc, ugc, pharmacy council of india, council of architect, aicte.
prior to this i worked as executive secretary to chairman at shree siddhivinayak group of institution, shahpur, bilaspur, distt.
yamuna nagar, where i performed administrative tasks as well as preparing documents various inspection kuk, aicte.
through my experiences at ssgi i have developed my administration skills learnt to work as an integral member of a team, and maintained the highest standards of professionalism.
i have also developed my computer skills, becoming familiar with company databases and honing my typing abilities in english and hindi languages.
i have strong communication and interpersonal skills, a friendly and professional manner, and an excellent command of microsoft word, excel and powerpoint.
i also have exceptional attention to detail, with an ability to prioritise and juggle multiple tasks.
i hope you will kindly consider my cv and give a chance to work in your organization.







",positive,Enrique
"please find the attached resume for the position and let me know if you
need any further information.







",positive,Enrique
"kindly find my updated cv and below are the following
information and do feed back.
total no.of years of it experience :6 yrs
current company : valuelabs.
current ctc : 621,000 .
(no variable pay in my current company).
excpected : as per company norms.
notice period: 3 weeks.
dob :08/06/1981.
current location: hyderabad.
current contact number : 9949222390.
highest degree& pass out year: mca-2006-jan(fulltime)/ 63%.







",positive,Enrique
"this letter is to express my interest on your opportunity for an experienced technical developer.
with a bachelorâs degree in information technology, and hands-on experience using java platform to create and implement software application.
â 
iâve attached a copy of my resume that details my projects and experience in software development.
i can be reached anytime via my cell phone, +91 9940551678 or via email at mailtoarun.j@gmail.com.







",positive,Enrique
"


Either way, I'm writing to ask you about your latest post on
LinkedIn about new corresponding AI positions; I even consider
my profile is more suited to that than web or mobile software development.
",positive,Wendy
"pfa,


thanks & regards,
devendra pal singh rathore,
+91 8105592464, 8003668168







",positive,Enrique
"thank you very much for offering me the opportunity to work at Norris, Wilson and Kelley as Clinical embryologist.
after much deliberation, i will not be accepting the position, as it isn’t the right fit for my long-term career goals.
i sincerely appreciate the offer and give you my best wishes in finding a suitable candidate for the position.
i wish you and the company well in all future endeavours.",negative,Enrique
"
I am a graduate of CICESE in the area of ​​telecommunications and digital signal processing, I am looking for a job, if you have any attached CV vacancy.
",positive,Wendy
"please find the updated cv as requested.







",positive,Enrique
"Good afternoon,

See the attached CV below
for the offer published in
https://www.computrabajo.com.mx/empresas/ofertas-de-trabajo-de-intekglobal-BAFDBAB90287CA83/oferta-de-trabajo-de-fisicomatematico-con-maestria-bilingue-en-estados-unidos-3F85D6E6F762871361373E686DC

Cheers
Magdiel A. F.",neutral,sam
